	University	Subject	Stipend	LW Ratio	Academic Year	Program Year	Comments
6047	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
6048	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
6049	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
6050	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
6051	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
6052	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
6053	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
6054	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
6055	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
6056	FAMU	COPPS	$16,183		2018-2019		
6057	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
6058	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
6059	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
6060	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
6061	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
6062	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
6063	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
6064	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
6065	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
6066	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
6067	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
6068	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
6069	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
6070	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
6071	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
6072	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
6073	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
6074	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6075	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6076	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
6077	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
6078	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
6079	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
6080	University of Reims	Computer Science	$1,400		2018-2019	3rd	
6081	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
6082	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
6083	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
6084	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
6085	Baylor University (BU)	History	$17,500	0.88	2018-2019		
6086	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
6087	University of Arizona (U of A)		$20,150	0.97	2019-2020		
6088	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
6089	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
6090	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
6091	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
6092	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
6093	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
6094	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
6095			$39,000		2018-2019	4th	
6096			$39,000		2018-2019	4th	
6097	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
6098	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
6099	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
6100	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
6101	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
6102	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
6103	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
6104	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
6105	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
6106	FAMU	COPPS	$16,183		2018-2019		
6107	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
6108	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
6109	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
6110	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
6111	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
6112	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
6113	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
6114	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
6115	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
6116	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
6117	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
6118	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
6119	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
6120	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
6121	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
6122	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
6123	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
6124	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6125	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6126	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
6127	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
6128	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
6129	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
6130	University of Reims	Computer Science	$1,400		2018-2019	3rd	
6131	University of Chicago (UC)	physics	$30,342	1.25	2018-2019	1st	
6132	Florida Institute of Technology	Bces	$11,560	0.55	2018-2019		
6133	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
6134	University of Pittsburgh	Infectious Disease and Microbiology	$28,000	1.35	2019-2020	1st	
6135	Baylor University (BU)	History	$17,500	0.88	2018-2019		
6136	University of Alabama - Birmingham (UAB)	Immunology	$30,000	1.39	2019-2020	3rd	after qualification, you get 31,000!
6137	University of Arizona (U of A)		$20,150	0.97	2019-2020		
6138	Northwestern University (NU)	Biology	$32,700	1.35	2018-2019	1st	
6139	University of Connecticut (UConn)	Biomedical sciences	$30,500	1.25	2019-2020	1st	
6140	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$16,500	0.76	2019-2020	2nd	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
6141	University of Texas - Arlington (UTA)	Mechanical Engineering/PhD	$15,500	0.71	2018-2019	1st	Insurance of 2500 USD (Fall - 950, Spring+Summer - 1450), but you can always opt for outside  insurance (worth 300-600 USD per year)
6142	University of Cincinnati (UC)	Chemistry	$23,000	1.19	2018-2019	5th	
6143	University of California - Irvine (UCI)	Cellular and Molecular Biosciences	$33,000	1.13	2019-2020	1st	
6144	Drexel University (DU)	Physics	$23,500	0.97	2018-2019	1st	
6145			$39,000		2018-2019	4th	
6146			$39,000		2018-2019	4th	
6147	Loyola University Chicago (LUC)	Neuroscience	$29,476	1.21	2018-2019	2nd	
6148	University of Arizona (U of A)	Chemical Engineering	$31,339	1.51	2018-2019	2nd	
6149	Massachusetts Institute of Technology (MIT)	Physics	$40,331	1.44	2019-2020	4th	All students in the department receive the same salary ($3361/month) and the Student Extended  Insurance Plan, regardless of whether they are on RA, TA, internal, or external fellowship (regardless of the fellowship amount). Some external fellowships (e.g. NSF, NDSEG) cover the $340 student life fee, but all other graduate students are required to pay it. The only pay boosts offered are the rare 10% TA position or grading midterms/finals for large classes for at $20/hour. Salary increases for the following year typically begin in June. 
6150	Oregon Health and Science University	Neuroscience	$30,000	1.28	2018-2019	1st	
6151	Wake Forest University (WFU)	Biomedical Informatics	$45,000	2.06	2019-2020	1st	
6152	University of Arizona (U of A)	Entomology	$22,022	1.06	2018-2019	1st	
6153	University of Wisconsin - Madison (UW)	Computer Sciences	$20,700	0.91	2019-2020	1st	$11,000 stipend, 50% TA appointment for FA 2019 w/ tuition remission. Segregated fees  ~$650/semester not covered for more than 8 credit hours enrollment.
6154	Oregon State University (OSU)	Microbiology	$1,600	0.08	2018-2019	2nd	
6155	University of Central Florida (UCF)	Mechanical Engineering	$24,000	1.04	2019-2020	1st	
6156	FAMU	COPPS	$16,183		2018-2019		
6157	Johns Hopkins University	Chemistry	$32,470		2016-2017	1st	
6158	University of Cincinnati (UC)	School Psychology	$12,540	0.65	2018-2019	1st	
6159	Clark Atlanta University	Chemistry 	$17,100	0.73	2019-2020	1st	
6160	Tulane University (TU)	Microbiology/Immunology	$23,000	1.00	2018-2019		
6161	Yeshiva University (YU)	Biomedical Sciences	$35,000	1.18	2018-2019	1st	
6162	Miami University (MU)	Mechanical Engineering	$15,800	0.82	2019-2020	1st	
6163	Northeastern University (NU)	Electrical and Computer Engineering	$33,007	1.15	2018-2019	2nd	after taxes and covering health insurance
6164	Stanford University (SU)	Civil and Environmental Enineering	$42,000	1.46	2019-2020	1st	
6165	University of California - Los Angeles (UCLA)	Electrical Engineering	$28,000	1.08	2019-2020	1st	
6166	University of California - Berkeley	MCB	$37,000	1.33	2019-2020	1st	
6167	University of Minnesota - Twin Cities (UM)	German Nordic Slavic and Dutch	$23,500	1.03	2018-2019	1st	
6168	University of North Carolina - Chapel Hill (UNC)	Biomedical Engineering	$37,500	1.69	2019-2020	1st	5000 bonus first year
6169	University of California - Los Angeles (UCLA)	Linguistics	$33,000	1.28	2019-2020	1st	
6170	Clemson University (CU)	Automotive	$20,500	0.98	2018-2019	3rd	
6171	University of California - Los Angeles (UCLA)	Molecular Biology Interdepartmental Doctoral Program (MBIDP)	$33,500	1.29	2019-2020	1st	
6172	Duke University (DU)	Public Policy	$25,000	1.12	2019-2020	1st	
6173	Gonzaga University	School of Leadership Studies	$1,440		2018-2019	1st	Stipend requires full time load (6 credits) and is awarded on a semester by semester basis.
6174	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6175	University of California - San Francisco (UCSF)	Chemistry and Chemical biology 	$40,000	1.34	2019-2020	1st	
6176	University of Cincinnati (UC)	Communication	$12,550	0.65	2018-2019	1st	All tuition was covered. Paid about 640 dollars every two weeks, but received increase to 656  dollars every two weeks. Health insurance scholarship available but hard to get unless far below income requirements. Summer teaching not often available. 
6177	California Institute of Technology (Caltech)	Computing and Mathematical Sciences	$35,000	1.35	2018-2019	4th	NSF GRFP pays $34,000. Institute minimum is $35,000.
6178	Duke University (DU)	University Program in Genetics and Genomics	$31,800	1.43	2018-2019	3rd	
6179	University of Texas - Dallas (UTD)	Management	$36,100	1.67	2018-2019	3rd	
